3RM Deadlift (lbs),Points,,Power Throw (m),Points,,Release PU (reps),Points,,Sprint Drag Carry,Points,,Leg Tuck (reps),Points,,2 Mile Run,Points,
80,0,,3.3,0,,1,15,,-335,0,,1,60,,-2248,0,
90,10,,3.4,5,,2,20,,-334,2,,2,62,,-2246,1,
100,20,,3.5,10,,3,25,,-333,4,,3,65,,-2244,2,
110,30,,3.6,15,,4,30,,-332,6,,4,68,,-2242,3,
120,40,,3.7,20,,5,35,,-331,8,,5,70,,-2240,4,
130,50,,3.8,25,,6,40,,-330,10,,6,72,,-2239,5,
140,60,,3.9,30,,7,45,,-329,12,,7,74,,-2237,6,
150,62,,4.0,35,,8,50,,-328,14,,8,76,,-2235,7,
160,63,,4.1,40,,9,55,,-327,16,,9,78,,-2233,8,
170,64,,4.2,45,,10,60,,-326,18,,10,80,,-2231,9,
180,65,,4.3,50,,12,61,,-325,20,,11,82,,-2230,10,
190,68,,4.4,55,,14,62,,-324,22,,12,84,,-2228,11,
200,70,,4.5,60,,16,63,,-323,24,,13,86,,-2226,12,
210,72,,4.9,61,,18,64,,-322,26,,14,88,,-2224,13,
220,74,,5.4,62,,20,65,,-321,28,,15,90,,-2222,14,
230,76,,5.8,63,,22,66,,-320,30,,16,92,,-2221,15,
240,78,,6.2,64,,24,67,,-319,32,,17,94,,-2219,16,
250,80,,6.5,65,,26,68,,-318,34,,18,96,,-2217,17,
260,82,,6.8,66,,28,69,,-317,36,,19,98,,-2215,18,
270,84,,7.1,67,,30,70,,-316,38,,20,100,,-2213,19,
280,86,,7.5,68,,31,71,,-315,40,,,,,-2212,20,
290,88,,7.8,69,,32,72,,-314,42,,,,,-2210,21,
300,90,,8.0,70,,33,73,,-313,44,,,,,-2208,22,
310,92,,8.2,71,,34,74,,-312,46,,,,,-2206,23,
320,94,,8.3,72,,35,75,,-311,48,,,,,-2204,24,
330,97,,8.5,73,,36,76,,-310,50,,,,,-2203,25,
340,100,,8.6,74,,37,77,,-309,51,,,,,-2201,26,
,,,8.8,75,,38,78,,-308,52,,,,,-2159,27,
,,,8.9,76,,39,79,,-307,53,,,,,-2157,28,
,,,9.1,77,,40,80,,-306,54,,,,,-2155,29,
,,,9.2,78,,41,81,,-305,55,,,,,-2154,30,
,,,9.4,79,,42,82,,-304,56,,,,,-2152,31,
,,,9.5,80,,43,83,,-303,57,,,,,-2150,32,
,,,9.7,81,,44,84,,-302,58,,,,,-2148,33,
,,,9.8,82,,45,85,,-301,59,,,,,-2146,34,
,,,10.0,83,,46,86,,-300,60,,,,,-2145,35,
,,,10.1,84,,47,87,,-250,61,,,,,-2143,36,
,,,10.3,85,,48,88,,-245,62,,,,,-2141,37,
,,,10.4,86,,49,89,,-240,63,,,,,-2139,38,
,,,10.6,87,,50,90,,-235,64,,,,,-2137,39,
,,,10.7,88,,51,91,,-230,65,,,,,-2136,40,
,,,10.9,89,,52,92,,-226,66,,,,,-2134,41,
,,,11.0,90,,53,93,,-222,67,,,,,-2132,42,
,,,11.2,91,,54,94,,-218,68,,,,,-2130,43,
,,,11.3,92,,55,95,,-214,69,,,,,-2128,44,
,,,11.5,93,,56,96,,-210,70,,,,,-2127,45,
,,,11.6,94,,57,97,,-209,71,,,,,-2125,46,
,,,11.8,95,,58,98,,-208,72,,,,,-2123,47,
,,,11.9,96,,59,99,,-207,73,,,,,-2121,48,
,,,12.1,97,,60,100,,-206,74,,,,,-2119,49,
,,,12.2,98,,,,,-205,75,,,,,-2118,50,
,,,12.4,99,,,,,-204,76,,,,,-2116,51,
,,,12.5,100,,,,,-203,77,,,,,-2114,52,
,,,,,,,,,-202,78,,,,,-2112,53,
,,,,,,,,,-201,79,,,,,-2110,54,
,,,,,,,,,-200,80,,,,,-2109,55,
,,,,,,,,,-159,81,,,,,-2107,56,
,,,,,,,,,-158,82,,,,,-2105,57,
,,,,,,,,,-157,83,,,,,-2103,58,
,,,,,,,,,-156,84,,,,,-2101,59,
,,,,,,,,,-155,85,,,,,-2100,60,
,,,,,,,,,-154,86,,,,,-2036,61,
,,,,,,,,,-153,87,,,,,-2012,62,
,,,,,,,,,-152,88,,,,,-1948,63,
,,,,,,,,,-151,89,,,,,-1924,64,
,,,,,,,,,-150,90,,,,,-1900,65,
,,,,,,,,,-149,91,,,,,-1848,66,
,,,,,,,,,-148,92,,,,,-1836,67,
,,,,,,,,,-147,93,,,,,-1827,87,
,,,,,,,,,-146,94,,,,,-1824,68,
,,,,,,,,,-145,95,,,,,-1812,69,
,,,,,,,,,-143,96,,,,,-1800,70,
,,,,,,,,,-141,97,,,,,-1751,71,
,,,,,,,,,-139,98,,,,,-1742,72,
,,,,,,,,,-136,99,,,,,-1733,73,
,,,,,,,,,-133,100,,,,,-1724,74,
,,,,,,,,,,,,,,,-1715,75,
,,,,,,,,,,,,,,,-1706,76,
,,,,,,,,,,,,,,,-1657,77,
,,,,,,,,,,,,,,,-1648,78,
,,,,,,,,,,,,,,,-1639,79,
,,,,,,,,,,,,,,,-1630,80,
,,,,,,,,,,,,,,,-1621,81,
,,,,,,,,,,,,,,,-1612,82,
,,,,,,,,,,,,,,,-1603,83,
,,,,,,,,,,,,,,,-1554,84,
,,,,,,,,,,,,,,,-1545,85,
,,,,,,,,,,,,,,,-1536,86,
,,,,,,,,,,,,,,,-1518,88,
,,,,,,,,,,,,,,,-1509,89,
,,,,,,,,,,,,,,,-1500,90,
,,,,,,,,,,,,,,,-1451,91,
,,,,,,,,,,,,,,,-1442,92,
,,,,,,,,,,,,,,,-1433,93,
,,,,,,,,,,,,,,,-1424,94,
,,,,,,,,,,,,,,,-1415,95,
,,,,,,,,,,,,,,,-1406,96,
,,,,,,,,,,,,,,,-1357,97,
,,,,,,,,,,,,,,,-1348,98,
,,,,,,,,,,,,,,,-1339,99,
,,,,,,,,,,,,,,,-1330,100,
